"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11269","Given open amazon website","","Wed Dec 04 15:55:23 IST 2024","passed","Wed Dec 04 15:55:34 IST 2024","","Open Browser: Practise on Amazonsite","",""
"","2","hook:","","Wed Dec 04 15:55:34 IST 2024","failed","Wed Dec 04 15:55:34 IST 2024","","","",""
